restau_ID;Titre;Note;Commentaire;DateVisite;restaurant
1;Best Burger in Town;5.0;We had eaten at two other burger places prior to finding this location during our two weeks in Paris. The servers were beyond friendly and (I'm assuming) the owner came over to our table and provided some humorous banter prior to the meal. The burgers were not made of your typical ground meat...it was more like ground steak. We asked for well done and recieved a perfectly cooked burger. The fries and salad that came with the burger were also very good. They also provide ketchup and mustard for each of the tables. The prices weren't bit weren't expensive either. We paid around 50 euro for two burger plates, wine, water, and dessert. The dessert was good as well. I had the apple crumble and the wife had the chocolate mousse. All in all one of the best meals we had in Paris.;mars-20;Il Etait Un Square
1;Very good restaurant;4.0;In this month I was go in restaurants with our friends really the restaurant was very good and neat clean the dishes of the restaurant is also good;mars-20;Il Etait Un Square
1;5 star - Reserve a table !!;5.0;Highly recommended !Heard about this place online before we can to Paris so we Pre booked a table. Rocked up to a quiet restaurant thinking we had got the wrong place. Amazing customer service in the mean time. Sat down and not 5 minutes later the restaurant was heaving. The burger was incredible with blue cheese and caramelised onions ooozing out of the side of the bun (and I hate onions) didn’t want it to end!Great job guys and thanks for speaking English for us unintelligent British folk;mars-20;Il Etait Un Square
1;Wonderful burgers!;5.0;Friendly service, they made a table available to us even without a reservation on the weekend, and burgers were really delicious!! English menus available, too!;févr-20;Il Etait Un Square
1;Delightful Dinner;5.0;My wife and I came to Il Etait Un Square based on TA reviews and once again were treated to a gastronomic delight. This is on the surface just a burger joint, but that couldn't be further from what you get. The burgers are just incredible and cooked to perfection, in a manner you wont find anywhere else. They also specialise in steak tartare and the flavours are the heroes in the restaurant. The service is fantastic and all plates are very well priced. All in all, if you eat in Il Etait Un Square, you will leave happy.;févr-20;Il Etait Un Square
1;Amazing burgers;5.0;Great burgers, service was fantastic too. Reasonable prices for the quality of food. Highly recommend. Got tiramisu as dessert, it was ok. None the less fantastic place for food.;févr-20;Il Etait Un Square
1;Very good burgers.;5.0;Very good burgers. Some of the best I’ve had, including those from top places in New York. Deserts were great too.;févr-20;Il Etait Un Square
1;Quick lunch;5.0;We made a reservation here before we got the train back to London - I would definitely recommend making a reservation! We got seated quickly and the waiter gave us a good explanation of the menu. We both went for burgers (the cheddar and the french) and they were delicious! the burgers are reasonably priced, especially for such a big portion! The staff were very friendly too. A great little spot for lunch or dinner - would definitely recommend!;févr-20;Il Etait Un Square
1;Great burgers!;5.0;A very nice restaurant with great burger. The owner makes you feel at home, very welcoming staff.Don't expect a romantic place...;févr-20;Il Etait Un Square
1;Listen to the reviews!;5.0;We arrived at Il Etait Un Square expected big things after reading the reviews and we weren't disappointed.We arrived around 1pm on a Saturday and were told politely by the manager that they were very busy so there would unfortunately be a wait (it was a Saturday with school holidays looming, so it was understandable). He was very honest with us & said he did not know how long the wait would be. We decided that we wanted to try the burgers, so went to sit in the nearby park. We returned after 30mins and were pleased to find that they had tables free. The wait staff were very polite to us and spoke good English. they were very welcoming. Our food was prompt and cooked to order (I had the Parisian whilst my girlfriend had the Max). The burgers were large, were clearly handmade and most importantly were well worth the wait. On our way out the manager told us he was very happy to have been able to seat us & this made us feel very good indeed.I would definitely recommend coming here, even if you do have to wait a little bit.;févr-20;Il Etait Un Square
1;Top Burger in Paris;5.0;Comming from Colombia, where a standard burguer is of high quality, good grass-fed meat, I must say that this restaurant lives up to the expectarions . The taste is amazing, delicious sauces and formulas that keep the the core burguer concept with a smooth french cheese twist. The apple crumble is a must!;févr-20;Il Etait Un Square
1;Best burger in Paris;5.0;Great food and service ! Definitely recommend, very filling meal for great price ! Burger and all sauces and fillings are delicious !;févr-20;Il Etait Un Square
1;Heavenly burgers;5.0;They have amazing burgers with homemade, locally sourced ingredients. You will have a lovely experience, with great food and top service. The owner/manager is a great man who always makes you feel welcome!Come in --> be happy;févr-20;Il Etait Un Square
1;Amazing;5.0;This place is just amazing. Everything is home made, the burgers are very interesting and all have a personal, special twist on the recipes. Very affordable. The staff is super nice. Nothing negative to say, enjoyable dinner, fine atmosphere, good prices, excelent food. Will certantly come again.;févr-20;Il Etait Un Square
1;excellent burger;5.0;I was in Paris on holiday with my wife. Some friends of mine suggested me this amazing place and I'm really happy aboutt it! The burger was delicious and I liked it. recommend!;janv-20;Il Etait Un Square
1;Burger;5.0;this has got to be my fav place to eat they make you feel very welcome had the cheddar burger it was mouth watering,the service is fab just love it would highly recommend;janv-20;Il Etait Un Square
1;YUM YUM;4.0;Yummy ... Everything is delicious. I like this place, it one of my favorite. I like their burger very yummy. Recommended;janv-20;Il Etait Un Square
1;What a great place and burger!;5.0;What a great place with great atmosphere and amazing food! :-) The staff are kind, polite and speak portuguese which makes a such difference! Second time there and still amazing! The keep the quality associated to the meat origine, the kitchen and the cleaness! The know how to cook a la perfection!;févr-20;Il Etait Un Square
1;great burger;5.0;I am happy to have tried this burger place. It was exquisite. Highly recommend cheddar burger. Good service as well.;sept-19;Il Etait Un Square
1;Best burger ever;5.0;Last day in Europe and was glad to have come here for a great atmosphere, and most of all, good honest food. Perfect way to end my experience, as most of my traveling this trip were business related, this is one of the three restaurants worth leaving a review. Take the trek and enjoy.;févr-20;Il Etait Un Square
1;New favorite restaurant;5.0;New favorite restaurant.  Amazing Cheddar burger.  Excellent desert.  Wonderful atmosphere and great staff.;févr-20;Il Etait Un Square
1;Best burger I had in Europe.;5.0;Best burger I had in Europe. Wife was pregnant so she couldn't try the tartare. But both were great!;janv-20;Il Etait Un Square
1;you will not be disappointed.;5.0;you will not be disappointed. take a 3 mile cab ride from centre paris and you will find this gem. the burgers are amazing and personnel made you feel welcomed, provided recommendations — a great time!;janv-20;Il Etait Un Square
1;We’ll be back;5.0;Delicious burgers. Great customer service. If you are in Paris, make sure you pop in. Extremely easy to get to. metro stop 2 minutes away. We’ll definitely be back. Les australiens de l’ouest;janv-20;Il Etait Un Square
1;Beautiful resturant;5.0;Service and food was impeccable. Was efficient but not rushed. Loves the welcome and the food. Would definitely go again;janv-20;Il Etait Un Square
1;It was most please;5.0;Me and my wife visited last December for our wedding ceremony and we loved it so much as of testy food and well behavior of the stuff. We enjoyed every moment there.;déc-19;Il Etait Un Square
1;You need to go here!;5.0;Well illuminated and cosy restaurant with an amazing staff! The food is just on point! If you're in Paris do your best to go here either with friends, family or your loved one!;janv-20;Il Etait Un Square
1;Best burgers in Paris;5.0;Me and my partner went here tonight, amazing food, nice location and the staff were very friendly. 100% recommend this place.;janv-20;Il Etait Un Square
1;AMAZING BURGER!;5.0;Visited il Etait un square after several recommendations. We were not disappointed! The tastiest burger I’ve had in a long time! (Blue burger) and the desserts were amazing too. A couple of members of the group said the apple crumble was the best they’d ever had. Friendly staff and good service. If you’re visiting Paris you’d be silly to miss this place.;janv-20;Il Etait Un Square
1;Best burger in Paris;5.0;My partner and I went for a meal this evening and it was absolutely fantastic.The staff were all extremely welcoming from the moment that we walked in, talking us through the menu and getting us settled.I'd read that the burgers were fantastic from other reviews so I ordered the cheddar burger and my partner order the cajun burger. Both tasted awesome. You can tell the produce is really high quality and it just melted in the mouth. Easily the best burgers we have both ever had.The service throughout was really friendly and I wouldn't think twice about coming back if I am ever in Paris again.;janv-20;Il Etait Un Square
1;Burger;5.0;This is a must stop place in Paris. Me and my fiancé had the cheddar burgers and as a chef myself I must say it was nothing less that greatness. Reasonably priced as well.;janv-20;Il Etait Un Square
1;Paris;5.0;It was very fantastic and amazing .. I enjoyed the atmosphere and the food and the staff very helpful;déc-19;Il Etait Un Square
1;Tasty Burgers with quality service;5.0;Had a wonderful time eating there. The burgers did not dissapoint. It was a generously sized burger that simultaneously left you full and longing for more!Can easily recommend.Cheers,From visiting Mauritians.;déc-19;Il Etait Un Square
1;This place has hands down;5.0;This place has hands down the best burgers my boyfriend or I have ever had. It’s also very close to the metro. Get the everything burger with the BBQ sauce and jalapeños. You won’t regret it.;déc-19;Il Etait Un Square
1;Lovely Resturant, Delicious Food.;5.0;Had a lovely lunch at Il Etait Un Square. The waitstaff and the host were both increibly kind. The host took time to tell us about the menu and highlight some of the things he thought we would like. The food was simply stupendous. Utterly flavorful and completely delicious.;nov-19;Il Etait Un Square
1;A great evening at a great place;5.0;The decision was easy to make: We've seen the pictures of the burgers and immediately knew, that we have to try this place. We got what we've expected and even more.The staff is very friendly, kind and helpful. They speak good English which is always great!The service was fast and we've received the right amount of attention.We went especially for the burgers, but there is a lot more to discover. We almost got uncertain what to order when we saw the plates of others and read through the menu. It's a pity we have only one stomach... :) But we remained with our original plan and went for the burgers which we didn't regret. They were just as juicy and cheesy as on the pictures. Delicious stuff, so thumbs up!Oh, and as we were chatting, we didn't realize that we were already past closing time. It wasn't intentional, we just completely forgot about time. We were surprized that no one came to our table to say that it's time to leave. That was very kind of them :) So all in all, we highly recommend it to anyone. Just make sure you make a reservation because the place is busy .)Thank you for having us! All the best!Dora and Peter from Budapest;nov-19;Il Etait Un Square
1;my favorite restaurant;5.0;Best burger in town. This is a second time having lunch here and really enjoy. The staffs are very nice. definitely come back;nov-19;Il Etait Un Square
1;Burger Heaven;5.0;Some of the best hamburgers you'll find in Paris. The boss was warm and easy going, always asking what we thought about the food! The vegetarian option is good with a falafel replacing the meat and the apple crumble is to die for !!!;sept-19;Il Etait Un Square
1;Best Burger in town;5.0;Every time I am in Paris I make sure to stop by at Il Etait Un Square. To be honest, I find reasons why I need to go to Paris just to eat the burgers.... :) Lovely staff, unbelievable food, just my favourite place in all of Paris! Love it.;nov-19;Il Etait Un Square
1;La hamburguesa más chingona del planeta;5.0;Best hamburguer ever, the cheese, the bread, the meat, the place, the waiter everything was awesome! You hace to go when visiting Paris. Don't forget to book a table.;nov-19;Il Etait Un Square
1;Delicious burgers!;5.0;We had a great lunch here after visiting the Catacombs. The burgers were delicious and perfectly cooked. The owner and staff were so friendly. We would definitely return when next in Paris!;oct-19;Il Etait Un Square
1;Loves this place!;5.0;My husband and I are in Paris for the first time and use Trip Advisor to assist with great places to eat. We saw the ratings and decided to make our way to the neighborhood and wow—the burgers are AMAZING! So well prepared and a must try—-friendly staff, nice service and a very cozy atmosphere. You won’t be disappointed (if going for dinner-make reservations).;oct-19;Il Etait Un Square
1;Best steak;5.0;Came to this place randomly, best steak i've ever had in my life! The service was great, really loved it!!;oct-19;Il Etait Un Square
1;Awesome;5.0;This place with amazing homemade burgers reminds me our bbq as childhood. If you are in Paris visit this place.;oct-19;Il Etait Un Square
1;Best burger in Paris!;5.0;We didn’t have a reservation and the owner was very friendly and gave us a table anyway. The owner greeted every table personally. The food was perfect. The staff was very friendly and helpful with the menu. Will be coming back tomorrow!;oct-19;Il Etait Un Square
1;A TRUE cheeseburger;5.0;San Francisco natives. Suffice it to say we get to eat some of the best foods in the world but these cheddar burgers are in a unique class of their own. They really put the majority of burgers in the US to shame! The creaminess... Is extraordinary! I'm sad I have to go back to eating normal single slice cheese burgers now. And the owner is so friendly!!! Great atmosphere, great customer service, great food. Go here. You won't be sorry!;oct-19;Il Etait Un Square
1;Best burger ever!;5.0;This is not only the best burger in Paris, it’s the best burger I’ve ever had anywhere! It’s difficult to get to, but definitely worth the effort. Luscious, large patty on a brioche bun, drizzled with the cheese of your choice!! This is a 5-napkin burger! And the owner and staff are delightful......and did I mention the fries are awesome as well?! This is not to be missed!! We took Uber there, then walked to the Pantheon......definitely worth stopping by on your way and you can walk off the calories!;oct-19;Il Etait Un Square
1;Best Burger in Paris;5.0;We ate lunch here on our trip to Paris. Small quaint cafe-style place with very friendly staff. Owner came over to our table and talked to us for 10 to 15 minutes. Burgers were out of this world good and all food served fast and piping hot.;sept-19;Il Etait Un Square
1;For cheeseburgers lovers;5.0;We'd heard about this place from Trip Advisor and decided to go and try it. The quality of the cheeseburgers were fantastic. So good. We fully recommend and definitely will back on our next trip.;sept-19;Il Etait Un Square
1;Best burger in Paris!;5.0;If you really want to eat good burgers, go to this place.Hands down the best burger I ever had in my life!We got to this place around noon, the place was packed but we were seated quickly.It has a nice French atmosphere, but not tourists-french.The menu is simple, with a nice burger selection at really good prices. All the burgers comes with small salad and fries.They are VERY generous with the toppings, and the mayonnaise sauce on the side is heaven!So if you want to eat the best burger in the world (yes, world!) go there, you will not regret it! The staff was really friendly, and if you don't speak french they have an english menu :)I would definitely go there again! I'm really happy we've found this place.;oct-19;Il Etait Un Square
1;You Gotta Eat Here!;5.0;My apologies to John Catucci for plagiarizing the title of his TV show, but . . . I have to admit I was skeptical when my wife told me a burger joint was Trip Advisor rated as the #2 restaurant in Paris out of over 16,000. But, after 2 1/2 weeks in Italy, I was craving a burger.It was almost around the corner from where we were staying, and even though the reviews recommended reservations, we decided to take a chance and just showed up. They found us a table for 5, and the staff were friendly, courteous, outgoing and professional. Burgers, fries and beer were ordered all around, and were quickly served.And what burgers! Big, juicy, tasty and dripping with their own cheese sauce. Amazing! I can't remember when I have enjoyed a burger more. Not even my own homemade burger stand up to these. Served as you like, but recommended medium rare, these are burgers to remember.In Paris? Like burgers? You Gotta Eat Here!;sept-19;Il Etait Un Square
1;Amazing cheeseburgers;5.0;I'd heard about this place and decided to try it. We were pleasantly surprised at the quality of the cheeseburgers. So good. Will go back again.;sept-19;Il Etait Un Square
1;Best burger I've ever had!;5.0;I had the burger of the month (obviously rotates) and my wife had The Cheddar. Our burgers were cooked perfectly cooked and I'd be hard pressed to find a burger I've enjoyed more. The beef was cooked to perfection, veggies were crisp and fresh, bun was fresh from the bakery and the perfect mix of soft and crisp. And the cheese sauce...was out of this world. I'd like to add the fries were perfect and thr atmosphere was incredible but that would just be taking away from the burger which is the real show stealer. If you're in Paris, this place is a must hit!;oct-19;Il Etait Un Square
1;Burgers with an incredible difference!!;5.0;"Its incredible to think that this Restaurant is ranked #2 (by travellers like us) of the 16,500 restaurants in Paris!! And one can get a menu (in English), which describe the relatively inexpensive burgers, including simply amazing vegetarian ""felafel (a ""Mediterranean""/middle eastern favourite) burgers... The meat [probably from French Charolais beef] is superb... and Customers are even asked by the very helpful staff how they would like the burger cooked! The sauces available are also outstanding... and the cheeses [should one desire this added extra] reflect the incredible quality and taste of highly reputed ""french cheeses""! Not to be ignored are the excellent ""french fries"" and the high quality freshly baked buns. Imagine... this restaurant is much more highly ranked than the myriad of restaurants serving very expensive ""French Food""! It is very advisable to make a reservation in advance, This restaurant will not only be ""most memorable""-- but will result in comparing these burgers with other places proving burgers.I hope that this Review is helpful.";sept-19;Il Etait Un Square
1;Amazing;5.0;The tartare was absolutely amazing.   Definitely would come back again to try the burger.  Friendly staff too!;oct-19;Il Etait Un Square
1;Best burger I’ve ever had;5.0;This place blew us away. Hands down the best burgers we’ve ever had. The meat was high quality and perfectly cooked and the cheese sauces are amazing. MUST TRY;oct-19;Il Etait Un Square
1;Amazing burgers;5.0;Had the best burger of my life here, had 2 in fact. They were just that delicious. Would recommend everytime.;sept-19;Il Etait Un Square
1;Best burger ever;5.0;Went here based on the high reviews on TripAdvisor and it didnt disappoint. The food was amazing and the service was the best we experienced in all of Paris. Thank you for a great meal!!;sept-19;Il Etait Un Square
1;tasty burgers;4.0;tried to reserve online, didn’t work so went there at 19.00, when restaurant opens and got lucky. owner is friendly and explains to every table their concept and we were not dissapointed. first time someone asks me how i want my burger cooked and first thing that came up to me was “saignant”. my partner asked for “a point” and warned me about my request.. i indeed regretted my choice but the cook did prepare what i asked for. the taste was still very good, would recommend it to everybody but please don’t ask your burger to be cooked “saignant” unless you like your burger to be like “americain” .-);sept-19;Il Etait Un Square
1;Blue Fox Tours: Normandy Region;5.0;Outstanding tour. Very thorough and guide was great. Tej was our guide and his knowledge of the region and WWII was accurate and informative. I also enjoyed his sense of humor and willingness to share personal stories. A day well spent;sept-19;Il Etait Un Square
1;Worth a visit;4.0;Came here for our first lunch in Paris. Very friendly staff, food was tasty and reasonably priced, good start to the trip!;sept-19;Il Etait Un Square
1;Amazing food;5.0;We came here on our first night in Paris after making a last minute reservation, and we were pleasantly surprised. We knew the food would be good because we'd seen the reviews, but we didn't know it would be this amazing! I had the best burger & chips I have ever tasted and would reccommend this to anyone visiting Paris! The service was great too.;sept-19;Il Etait Un Square
1;Their food was as great as they staff;5.0;"We went on a whim without a reservation. (I would recommend making a reservation). This restaurant and their staff was the best. The burger was amazing. Cooked to perfection, topped with unbelievable mixture of cheese, other meat and seasonings. The chicken ""burger"" was less perfect only because of the meat - not the toppings. But since this is a burger/beef place, stick to to beef. What set us over the top was the hospitality. We walked into a full night and the owner or manager went out of their was to accommodate us. Amazing experience and would go back again and again to keep trying new things.";sept-19;Il Etait Un Square
1;Worthful;5.0;I tried the burger of month and it worthed every single steped I walked toward there. Try they beer and catchup. It is handmade and perfect.;sept-19;Il Etait Un Square
1;Juiciest Burger;5.0;We arrived at 20:45,they close at 21:30 and we still got a warm welcome.Although it was late but the restaurant was full,and we waited 38-45 mins for our meal(It was worth the wait)We ordered (THE MAX) burger,which I highly recommend.Reasonable price.;sept-19;Il Etait Un Square
1;Absolutely Amazing;5.0;Very cool restaurant, modern and tasty. Good burgers in homemade quality and fair prices. Very nice staff.;août-19;Il Etait Un Square
1;Good Burgers;3.0;It's a good burger. The fries are good. The staff is friendly. Would I go out of my way to come back again? Doubt it.;juin-19;Il Etait Un Square
1;Amasing place;5.0;This amasing place is also a good restaurant for tartare and burger lovers. Try it and you won't be desapointed;juil-19;Il Etait Un Square
1;OMG Burgers!!;5.0;We came here based off the TA reviews and ot also being close to our hotel so glad we did.Like others found we couldn't book online so turned up without a booking early and managed to grab a table.The service was fabulous and the owner came out several times to check everything was ok so a super nice touch.Drinks were reasonably priced and plenty of options.I had the Parisian whichcame with ham and melted cheese - divine.Hubbie had the Cheddar and couldn't fault it.We loved this place and would definitely reccomend.;sept-19;Il Etait Un Square
1;Amazing burgers and great staff;5.0;The best burger I've ever had - freshly prepared with fine ingredients. Fabulous location and very friendly staff. How it should be.;août-19;Il Etait Un Square
1;Absolutely Fantastic Burgers;5.0;We were in the neighbourhood and decided to give this place a try. So glad we did. Being Canadian we have had our share of burgers, but honestly, these are perhaps the best any of us have ever had. The service is very friendly too. Highly recommended if you are in Paris!Note the online booking system is and will remain down as they are just too busy. Best to call to reserve a table or show up early.;août-19;Il Etait Un Square
1;[review II Etait Un Square ];5.0;We are happy with the experience here. It gives me an aftertaste of a more meaningful trip.I hope will comeback then in the future. Wish you have a great experience when you come here.;mai-19;Il Etait Un Square
1;Closed for August;4.0;Until the 26th. Luckily we were only staying 300m away and ended up in the Italian across the square.;août-19;Il Etait Un Square
1;Must try;5.0;Out with friends and Wow!!!! Burgers that are really burgers!!! Freshly done with fresh vegetables in it and freshly cooked fries to match it up with. Yummy! Great place to hang out with friends as well.;avr-19;Il Etait Un Square
1;Wow! Most amazing place.;5.0;We booked online based on the reviews and we were welcomed and offered a range of tables. The waiter went through the whole menu and was fantastic. It was a very hot day 42c and they had some cooking spray for each table to help manage. The food was out of this world and very reasonable €16 for an incredible burger and fries. Superb!;juil-19;Il Etait Un Square
1;Unlike anywhere else;5.0;The reviews are the real deal. We visited many restaurants in Paris, many were good but this was a great experience. The most friendly staff/owner and quick service sets it apart from anywhere else. The Parisian and Max burgers were both delicious... tasted quality beef and needed to eat with a fork and knife due to all the cheese. No doubt why it is now the #1. Thank you for a wonderful evening.;juil-19;Il Etait Un Square
1;Amazing burger;5.0;Great place Great burger , fresh and well prepared tasty and well executed Great people Would visit again and again...;juil-19;Il Etait Un Square
1;Awesome burgers and great hosts!;5.0;We visited here based on the great reviews and it did not disappoint! We had a cheese platter for starter, which was lovely and different burgers for mains. The melted cheese sauce on their burgers is so tasty and the unique meat they use is cooked to perfection and delicious. There is a nice range of french beers and wines on offer as well, which is what everyone wants to see at a good restaurant. A special mention to the staff here who take great care of their customers, including fans of Marcelo Bielsa :-D;juil-19;Il Etait Un Square
1;Great place to eat!;5.0;We had the amazingly well made stake tartare and after some delicious burgers with chips and a salad.The service was excellent and the staff was very welcoming, had a really great time.;juil-19;Il Etait Un Square
1;Really good food + nice hosts :);5.0;Best Burgers we had in a while! The starters (sliced bread with a bluecheese/bacon/onion cream) and also the dessert (warm applecrumple) were delicious too! Also the hosts / waiters were really nice and friendly! Definitely a redo when we are back in Paris :);juil-19;Il Etait Un Square
1;Delicious;5.0;Came to Paris for a getaway from the usual. Found this place and will definitely be returning. The burgers were very good and even had the chance to meet the owner, very humble!;juin-19;Il Etait Un Square
1;Delicious food and friendly waiters;5.0;Burgers were very good. Waiters are very friendly and helpful. They speak English too! Great place for a delicious dinner. Affordable prices and worth the money!;juil-19;Il Etait Un Square
1;Nice burger;4.0;After seeing this restaurant was ranked #1 on TA we were pleased to secure a booking the same evening via our hotel concierge.The establishment is out of the way of the centre of Paris, it took us 30 mins via Uber from the Opera area. We were a little late due to traffic but were seated straight away. The place is not pretentious in any way, there is a relaxed vibe evident in the decor and diners.We had a nice introduction from the very friendly owner/manager who talked us through the different menu items and pointed out some photos. On to the food - the burgers are really nice with the speciality cream of cheese. The buns complement this. The fries are really nice too. The owner also seemed genuinely interested to know whether we enjoyed our food which was good. Despite the above, and not to the detriment of Il Etait Un Square in any way but I am not clear why this is ranked the best place in town (unless there is a particularly high number of burger connoisseurs visiting Paris maybe)! My burger was nice, but I won’t remember it for long.In short - if I was in the vicinity then I would definitely come back, but I’m not sure I would head all the way across the city.;juil-19;Il Etait Un Square
1;Excellent burgers;5.0;Ordered the blue cheese burger with fries. Really excellent burger and large portion of fries. Very nice staff who treated us well. Would definitely go back and try other options as well.;juil-19;Il Etait Un Square
1;Excellent dinner!;5.0;We did not have a reservation, but the owner was able to fit us in which we greatly appreciated! The burgers were so good. They definitely had a unique selection of different burgers to choose from. Our favorites were the Bleu Burger and the Max Burger. You can’t go wrong though. Very quaint,charming, and friendly place. It did not disappoint!;juil-19;Il Etait Un Square
1;Amazing restaurant, Amazing owner!;5.0;Don’t miss out on this awesome restaurant in Paris! This Texas family approves this burger spot! Best burger ever and best service too!;juil-19;Il Etait Un Square
1;Amazing Food, Amazing Service;5.0;Cannot fault as to why this establishment got the number 1 spot in Paris on TA! Well deserving of the spot. The food is amazing and so is the service! It’s quite out of the way of Central Paris but worth travelling down to for their food. The owner has so much passion for their food that he thoroughly explained the menu when we got our table. The food was exquisite and they also provided us a can of mist to cool ourselves down as it was a really hot day in France, even in the evening. That was an extremely gracious touch on their service. Will definitely go here again with my family next time!;juil-19;Il Etait Un Square
1;Top quality European beef (cows) prepared expertly with French cheese and bread;5.0;"The beef is slightly different from that found in USA, the cheese is a lot different and the bread is delicious (not ""just a roll""). Overall, the burgers offer a new and seemingly better tasting twist on American burgers (even expensive burgers in foodie havens in NYC). The staff is very friendly and helpful, the price is very reasonable, the food is delicious, and the place is spotless. A great spot to try a ""French burger"" in Paris (also offers steak tartare burgers if interested- too odd a concept for me).";juin-19;Il Etait Un Square
1;Mr David Harmsworth;5.0;Wow. Can’t fault this restaurant at all. We came late on Thursday evening without booking and they managed to squeeze us in at short notice. The burger was unbelievable and my wife thoroughly enjoyed the pesto ravioli too. Lovely service and the prices were very reasonable. Thank you.;juil-19;Il Etait Un Square
1;Really fun, tasty experience;5.0;The burgers were amazing! The owner was really nice and enthusiastically explained the menu. We really enjoyed this meal - highly recommended!!;juin-19;Il Etait Un Square
1;Sweet;4.0;Really nice place with extra tasty burgers! Recomend for families with children.  Friendly waitresses and good prices;avr-19;Il Etait Un Square
1;If I could give this restaurant 100 stars I would;5.0;I can’t tell you how much impressed I am with this restaurant. We were welcomed by the owner who introduced us to the meals from the menu. We tried the burgers ( cheddar and max ) and they were amazing! Very light, juicy, meat and bread was fresh. The girl who served us was very polite and professional and speaks english very good ( you won’t find that in France very often ). I would go there again for sure!Thank you!;juin-19;Il Etait Un Square
1;Highly recommend;5.0;The burgers were delicious. We ordered the Max and the Cheddar. Both were yummy. The servers provided an menu in english and also gave a brief overview of the offerings. We enjoyed our lunch very much!;juin-19;Il Etait Un Square
1;Good meat good burger fast service;5.0;Good quality burgers with a french touch. Fast service with customer attention and lot of varieties of burgers even with vegetarian version. Nice place with easy access and good quality price balance;juin-19;Il Etait Un Square
1;Great Lunch;5.0;Delicious food. Bun was light, high quality meat on the burger. Cheddar was like a cheese whiz but really tasty. Killer fresh cut fries. Very personable owner. I get why their rating is so high!;juin-19;Il Etait Un Square
1;BEST BURGERS IN PARIS///THE WORLD!;5.0;Went here for lunch after reading good reviews and definitely didn't disappoint. The quality of service, food and all round atmosphere were excellent. Location is in a quiet area but not far from all the tourist attractions of Paris. When we arrived we were seated straight away and the waiter explained the menu to us and told us about each burger and steak etc on the menu. The food arrived quick and was of amazing quality and the 3 mini desserts and coffee were also amazing. All for a reasonable price aswell. A must visit if you're in Paris!!!;juin-19;Il Etait Un Square
1;Yummy!;5.0;We traveled on the metro to this place and were so delighted with the location and neighborhood. Very charming restaurant, great service, and wonderful food. Staff were informative and spoke English well. It didn’t disappoint!! Worth the trip!;juin-19;Il Etait Un Square
