Commentaire;Sentiment;StemmedComments;LemmatizedComments
l’excellence culinaire après être arrivé retard d’une heure j’ai agréable réception part directeur restaurant possède énormément qualité fait tout charme deux retiens plus l’ambiance très chaleureuse dirait très familiale ainsi plats préparés gustativement plaisir papilles réel coup cœur fromage délicatement déposées l’hamburgers j’y reviendrais très grand plaisir cette fois ci l’heure signé retardataire;-1;l ’ excellent culinair apres être arriv retard d ’ une heur j ’ ai agréabl récept part directeur restaur possed énorm qualit fait tout charm deux retien plus l ’ ambianc tres chaleur dir tres familial ains plat prépar gustat plais papill réel coup cœur fromag délicat dépos l ’ hamburger j ’ y reviendr tres grand plais cet fois ci l ’ heur sign retardatair;l’ excellence culinaire après être arriver retard d’ un heure j’ avoir agréable réception part directeur restaurant posséder énormément qualité faire tout charme deux retien plus l’ ambiance très chaleureux dire très familial ainsi plat préparer gustativement plaisir papille réel coup cœur fromage délicatement déposer l’ hamburger j’ y reviendrais très grand plaisir ce fois ci l’ heure signer retardataire
simple efficace accueil chaleureux produits frais hamburgers tartares parfums inhabituels viande qualité première reviendrons;-1;simpl efficac accueil chaleur produit frais hamburger tartar parfum inhabituel viand qualit premi reviendron;simple efficace accueil chaleureux produit frais hamburger tartare parfum inhabituel viande qualité premier reviendron
excellent régalé burger excellent très bonne qualité l’accueil parfait chapeau messieurs;-1;excellent régal burg excellent tres bon qualit l ’ accueil parf chapeau messieur;excellent régalé burger excellent très bon qualité l’ accueil parfaire chapeau monsieur
très bonne ambiance agréable surprise voulions steaks tartare déçu équipe agréable ambiance familiale passage paris dépaysé équipe originaire région;-1;tres bon ambianc agréabl surpris voulion steak tartar déçu équip agréabl ambianc familial passag paris dépays équip originair région;très bon ambiance agréable surprise voulion steaks tartare décevoir équipe agréable ambiance familial passager paris dépaysé équipe originaire région
burger mois clairement meilleur burger mangé recommende très très fortement bretons parisiens;-1;burg mois clair meilleur burg mang recommend tres tres fort breton parisien;burger mois clairement meilleur burger mangé recommende très très fortement bretons parisien
belle découverte belle découverte accueil sympathique chaleureux burger max excellent cheddar crémeux piments frais viande savoureuse foncez meilleur burger c’est ici plaisir dieppoises;-1;bel découvert bel découvert accueil sympath chaleur burg max excellent cheddar crémeux piment frais viand savour fonc meilleur burg c ’ est ici plais dieppois;bel découverte bel découverte accueil sympathique chaleureux burger max excellent cheddar crémeux piment frais viand savoureux foncez meilleur burger c’ être ici plaisir dieppoiser
bon restaurant burgers accueil très sympathique resto burgers avis élogieux burgers qualité frites maison meilleur restaurant burger habitués ça reste bon établissement;-1;bon restaur burger accueil tres sympath resto burger avis élogi burger qualit frit maison meilleur restaur burg habitu ça rest bon établ;bon restaurant burgers accueil très sympathique resto burger avir élogieux burger qualiter frit maison meilleur restaurer burger habituer cela reste bon établissement
burgers excellents tout burgers excellents tout fait maison produits qualités recommandons bretons parisiens;-1;burger excellent tout burger excellent tout fait maison produit qualit recommandon breton parisien;burger excellent tout burger excellent tout faire maison produit qualiter recommandon bretons parisien
burgers parfaits accueil top accueil très prévenant sympathique service rapide burgers tout simplement délicieux steak savoureux accompagné bonne sauce fromage mention particulière qualité pain très bonnes frites première fois mangeons burger sans avoir impression manger gras bravo qualité tous ingrédients;-1;burger parfait accueil top accueil tres préven sympath servic rapid burger tout simpl délici steak savour accompagn bon sauc fromag mention particuli qualit pain tres bon frit premi fois mangeon burg san avoir impress mang gras bravo qualit tous ingrédient;burger parfaire accueil top accueil très prévenant sympathique service rapide burger tout simplement délicieux steak savoureux accompagner bon sauce fromage mention particulier qualité pain très bon frit premier fois mangeon burger sans avoir impression manger gras bravo qualiter tout ingrédient
mieux states burgers excellents qualités supérieures meilleurs burgers américains ingrédients fins originaux trés goûteux service sympa rapide reviendra sûr;-1;mieux stat burger excellent qualit supérieur meilleur burger américain ingrédient fin original tré goûteux servic symp rapid reviendr sûr;mieux state burger excellent qualiter supérieur meilleur burger américain ingrédient fin original trer goûteux service sympa rapide reviendra sûr
superbe accueil super burger superbe accueil superbe burger cuisson respectée fais maison tout parfait merci gérant conseils disponibilité;-1;superb accueil sup burg superb accueil superb burg cuisson respect fais maison tout parf merc ger conseil disponibil;superbe accueil super burger superbe accueil superbe burger cuisson respecter fais maison tout parfaire merci gérer conseils disponibilité
excellent rien dire excellent rien dire tout parfait l’accueil départ conseil vivement j’y retournerai très vite;-1;excellent rien dir excellent rien dir tout parf l ’ accueil départ conseil viv j ’ y retourn tres vit;excellent rien dire excellent rien dire tout parfaire l’ accueil départ conseil vivement j’ y retourner très vite
recommandation restaurant première fois qu’on arrivé restaurant tout très très bien l’accueil l’arrivé plats gérant très accueillant ainsi employés début jusqu’à fin expliquant bien carte détails chaque ingrédients recommande très fortement pain burger n’est pain brioché boulanger encore plus léger super bon;-1;recommand restaur premi fois qu ’ on arriv restaur tout tres tres bien l ’ accueil l ’ arriv plat ger tres accueil ains emploi début jusqu ’ à fin expliqu bien cart détail chaqu ingrédient recommand tres fort pain burg n ’ est pain brioch boulang encor plus leg sup bon;recommandation restaurer premier fois qu’ on arriver restaurer tout très très bien l’ accueil l’ arriver plat gérer très accueillant ainsi employer début jusqu’ à fin expliquer bien carte détails chaque ingrédient recommande très fortement pain burger n’ être pain briocher boulanger encore plus léger super bon
mot excellent petite amie fait éloge restaurant avoir déjà mangé accueil réserve patron tout simplement charmant convivial reste équipe tout aussi acueillant parlons maintenant burgers mot excellent max répond toutes attentes steak haché tendre goûteux ingrédients frais délicieuse spécialité chef crème fromage aimerais surtout conseiller cajun poulet cette fois ci mariné épices délice évidemment frites maison peut recommander très fortement cette adresse bon moment cadre très sympa très vite nouveaux voisins;-1;mot excellent petit ami fait élog restaur avoir déjà mang accueil réserv patron tout simpl charm convivial rest équip tout auss acueil parlon mainten burger mot excellent max répond tout attent steak hach tendr goûteux ingrédient frais délici spécial chef crem fromag aim surtout conseil cajun poulet cet fois ci marin épic délic évident frit maison peut recommand tres fort cet adress bon moment cadr tres symp tres vit nouveau voisin;mot excellent petit amie faire éloge restaurer avoir déjà manger accueil réserve patron tout simplement charmant convivial reste équipe tout aussi acueiller parlon maintenant burger mot excellent max répondre tout attente steak hacher tendre goûteux ingrédient frais délicieux spécialité chef crème fromage aimerai surtout conseiller cajun poulet ce fois ci mariné épice délice évidemment frites maison pouvoir recommander très fortement ce adresse bon moment cadre très sympa très vite nouveau voisin
excellent burgers excellents service très agréable recommande cajun burger poulet avocat reviendrai;-1;excellent burger excellent servic tres agréabl recommand cajun burg poulet avocat reviendr;excellent burger excellent service très agréable recommande cajun burger poulet avocat reviendrai
tout simplement meilleur tout simplement meilleur burger j’ai jamais mangé vie c’était incroyable meilleures adresses paris;-1;tout simpl meilleur tout simpl meilleur burg j ’ ai jam mang vi c ’ était incroi meilleur adress paris;tout simplement meilleur tout simplement meilleur burger j’ avoir jamais manger vie c’ être incroyable meilleur adresser paris
top accueil convivial cuisine top produits qualité viande rondelle tomate tout délicieux allées suite conseil ados sans aucun regret recommandons vivement arrageois;-1;top accueil convivial cuisin top produit qualit viand rondel tomat tout délici allé suit conseil ados san aucun regret recommandon viv arrageois;top accueil convivial cuisine top produit qualité viand rondell tomate tout délicieux allée suite conseil ado sans aucun regret recommandon vivement arrageois
meilleur burger j’ai mangé meilleur burger j’ai mangé vie croyez j’en gros consommateur viande fromage frites personnel tout excellent garder merci cette émulsion gustative;-1;meilleur burg j ’ ai mang meilleur burg j ’ ai mang vi croi j ’ en gros consomm viand fromag frit personnel tout excellent gard merc cet émuls gustat;meilleur burger j’ avoir manger meilleur burger j’ avoir manger vie croyez j’ en gros consommateur viande fromage frites personnel tout excellent garder merci ce émulsion gustatif
bon burger burger excellent comprends excellent classement viande magnifique bien tendre adore;-1;bon burg burg excellent comprend excellent class viand magnif bien tendr ador;bon burger burger excellent comprend excellent classement viande magnifique bien tendre ador
execellent restaurant juste parfais prix raisonnable produit qualité sauce maison trés bon acceuill responsable discuter attendant service conclusion trés satisfait deux toulousains;-1;execellent restaur just parf prix raison produit qualit sauc maison tré bon acceuill respons discut attend servic conclus tré satisf deux toulousain;execeller restaurer juste parfai prix raisonnable produit qualité sauc maison trer bon acceuill responsable discuter attendre service conclusion trer satisfaire deux toulousain
restaurant très sympathique restaurant très sympathique personnel accueillant provinciaux burgers très bon conseille fortement toulousains;-1;restaur tres sympath restaur tres sympath personnel accueil provincial burger tres bon conseil fort toulousain;restaurer très sympathique restaurer très sympathique personnel accueillant provincial burger très bon conseille fortement toulousains
excellent burgers excellents desserts très bons fait maison plus cela service top vécu très bonne expérience;-1;excellent burger excellent dessert tres bon fait maison plus cel servic top vécu tres bon expérient;excellent burger excellent dessert très bon faire maison plus cela service top vivre très bon expérience
très bon revenons régulièrement restau l’on affectionne particulièrement cependant fait frites maison burger euros gêne peu crème cheddar faisait réputation burger moins moins généreuse l’assiette dommage;-1;tres bon revenon réguli restau l ’ on affection particuli cepend fait frit maison burg euros gên peu crem cheddar fais réput burg moin moin géner l ’ assiet dommag;très bon revenon régulièrement restaurant l’ on affectionne particulièrement cependant faire frites maison burger euro gêne peu crème cheddar faire réputation burger moins moins généreux l’ assiette dommage
réputation hauteur place n° arrivés quartier très agréable plutôt calme tout cas aujourd hui facilement distingué square décoration entre moderne charme ancien ainsi bonne musique accueillir après quelques minutes pendant lesquels autres clients payaient installé terrasse certe petite largement suffisante passer bon moment parlons maintenant carte énoncerais premier seul point peu dommage cette expérience savoir fait qr code avoir carte directement téléphone dû prendre carte photo entrée établissement parlons maintenant choix plusieurs burgers viandes tous air plus gourmands uns autres patron également su répondre différentes question parfaitement renseigné composition burger origine viandes choix donc arrêté burger mois burger cheddar burger parisien assiettes généreusement remplies burgers confirment gourmandise part aspect temps attente plus correct heure dégustation sonné premièrement frites croustillantes extérieure fondante intérieur goût pomme terre doux dont huile cuisson fait sentir verdict très bonnes enfin coeur repas burger vais ici parlé burger mois savoir californien première bouchée plus déterminante explosion saveurs aucun ingrédient prend dessus autre différents goûts succèdent harmonie boeuf poitrine fumée crème avocat crème cheddar fondue salade croquante tomate oignon textures tantôt croustillantes tantôt fondantes deuxième bouchée goût change façon subtile rengaine toutes portions suivantes finalement terminé gourmandise non faim dessert mention desserts faits maison séduit donc commandé cafés gourmands dernier composé panne cotta coulis fruits rouges mousse chocolat crumble pommes évidemment café précise nouvelle fois chaque dessert faut maison ça sent abord panne cotta onctueuse douce trop sucré coulis suffit donné petite étincelle savoureuse tout mousse chocolat aérienne savoureuse là encore trop sucré dont goût chocolaté prime reste bouche crumble servi tiède fois croustillant fondant crumble véritable petit nuage fruits gourmandise rien redire délicieux café etait malheureusement goût jugerais celui ci car goûts matières café très sélectifs résumé endroit calme chaleureux rapport qualité prix excellent burgers savoureux note finale sucrée très agréable bref allez foncez mangez;-1;réput hauteur plac n° arriv quarti tres agréabl plutôt calm tout cas aujourd hui facil distingu squar décor entre modern charm ancien ains bon musiqu accueil apres quelqu minut pend lesquel autr client pai install terr cert petit larg suffis pass bon moment parlon mainten cart énonc premi seul point peu dommag cet expérient savoir fait qr cod avoir cart direct téléphon dû prendr cart photo entré établ parlon mainten choix plusieur burger viand tous air plus gourmand un autr patron égal su répondr différent question parfait renseign composit burg origin viand choix donc arrêt burg mois burg cheddar burg parisien assiet géner rempl burger confirment gourmandis part aspect temp attent plus correct heur dégust son premi frit croustill extérieur fond intérieur goût pomm terr doux dont huil cuisson fait sent verdict tres bon enfin coeur rep burg vais ici parl burg mois savoir californien premi bouch plus détermin explos saveur aucun ingrédient prend dessus autr différent goût succèdent harmon boeuf poitrin fum crem avocat crem cheddar fondu salad croqu tomat oignon textur tantôt croustill tantôt fond deuxiem bouch goût chang façon subtil rengain tout portion suiv final termin gourmandis non faim dessert mention dessert fait maison séduit donc command caf gourmand derni compos pann cott coul fruit roug mouss chocolat crumbl pomm évident caf précis nouvel fois chaqu dessert faut maison ça sent abord pann cott onctueux douc trop sucr coul suff don petit étincel savour tout mouss chocolat aérien savour là encor trop sucr dont goût chocolat prim rest bouch crumbl serv tied fois croustill fond crumbl vérit pet nuag fruit gourmandis rien redir délici caf etait malheur goût jug celui ci car goût mati caf tres sélect résum endroit calm chaleur rapport qualit prix excellent burger savour not final sucr tres agréabl bref allez fonc mang;réputation hauteur place numéro arriver quartier très agréable plutôt calme tout cas aujourd hui facilement distinguer square décoration entre moderne charme ancien ainsi bon musique accueillir après quelque minute pendant lequel autre client payer installer terrasse certe petit largement suffisant passer bon moment parlon maintenant carte énoncerai premier seul point peu dommage ce expérience savoir faire qr code avoir carte directement téléphone devoir prendre carte photo entrer établissement parlon maintenant choix plusieurs burger viande tout air plus gourmand uns autre patron également savoir répondre différent question parfaitement renseigner composition burger origine viandes choix donc arrêter burger mois burger cheddar burger parisien assiette généreusement remplir burger confirmer gourmandis part aspect temps attente plus correct heure dégustation sonner premièrement frit croustillant extérieur fondante intérieur goût pomme terre doux dont huile cuisson faire sentir verdict très bon enfin coeur repas burger aller ici parler burger mois savoir californien premier bouchée plus déterminant explosion saveur aucun ingrédient prendre dessus autre différent goût succèdent harmonie boeuf poitrine fumée crème avocat crème cheddar fondu salade croquant tomate oignon texture tantôt croustillant tantôt fondant deuxième bouchée goût change façon subtil rengain tout portion suivant finalement terminer gourmandis non faim dessert mention dessert faire maison séduire donc commander cafer gourmand dernier composer pann cotta coulis fruit rouge mousse chocolat crumbl pomme évidemmer café précise nouveau fois chaque dessert falloir maison cela sentir abord pann cotta onctueux douce trop sucrer coulis suffire donner petit étincell savoureuse tout mousse chocolat aérien savoureuse là encore trop sucrer dont goût chocolater prime reste bouche crumbl servi tiède fois croustiller fondre crumble véritable petit nuage fruit gourmandise rien redir délicieux café eter malheureusement goût jugerai celui ci car goût matière café très sélectif résumé endroit calme chaleureux rapport qualité prix excellent burger savoureux note final sucrer très agréable bref allez foncez mangez
top bons burgers bistrot sympa ambiance agréable conviviale service top d’une gentillesse rarement égalée paris demander plus n’hésitez;-1;top bon burger bistrot symp ambianc agréabl convivial servic top d ’ une gentilless rar égal paris demand plus n ’ hésit;top bon burger bistrot sympa ambiance agréable convivial service top d’ un gentillesse rarement égaler paris demander plus n’ hésitez
bon attirés avis plus positifs venus soir deux accueil très sympathique service rapide toutefois burgers déçu certes mauvais cheddar manquait gout globalement rien exceptionnel burger honnête sans plus;-1;bon attir avis plus posit venus soir deux accueil tres sympath servic rapid toutefois burger déçu cert mauv cheddar manqu gout global rien exceptionnel burg honnêt san plus;bon attiré avir plus positif venir soir deux accueil très sympathique service rapide toutefois burgers déçu certes mauvais cheddar manquer gout globalement rien exceptionnel burger honnête sans plus
burger corrects sans plus comprend comment restaurant puisse être classé premier tripadvisor burgers mauvais faits maison comme frites rien exceptionnel déjà mangé bien meilleurs burgers paris prix voire moins cher service bien burger honnête peut être poil trop cher certainement meilleur paris;-1;burg correct san plus comprend comment restaur puiss être class premi tripadvisor burger mauv fait maison comm frit rien exceptionnel déjà mang bien meilleur burger paris prix voir moin cher servic bien burg honnêt peut être poil trop cher certain meilleur paris;burger corrects sans plus comprendre comment restaurer pouvoir être classer premier tripadvisor burger mauvais faire maison comme frit rien exceptionnel déjà manger bien meilleur burger paris prix voire moins cher service bien burger honnête pouvoir être poil trop cher certainement meilleur paris
burgers exceptionnels meilleurs burgers paris sans contestation tout excellent début jusqu fin personnel accueillant chaleureux;-1;burger exceptionnel meilleur burger paris san contest tout excellent début jusqu fin personnel accueil chaleur;burger exceptionnel meilleur burger paris sans contestation tout excellent début jusqu fin personnel accueillir chaleureux
exelente note méritée recommande sans perdre temps superbe établissement regret sortant plats vraiment trop bons;-1;exelent not mérit recommand san perdr temp superb établ regret sort plat vrai trop bon;exelent note mériter recommande sans perdre temps superbe établissement regret sortant plat vraiment trop bon
excellentissime meilleur burger paris faut aller impérativement très convivial très accueillant très sympa;-1;excellentissim meilleur burg paris faut aller imper tres convivial tres accueil tres symp;excellentissime meilleur burger paris falloir aller impérativement très convivial très accueillir très sympa
petit moment hors temps burgers exception tous aussi délicieux uns autres rien laissé hasard jusqu ketchup fabrication artisanale mention spéciale accueil très chaleureux service irréprochable;-1;pet moment hor temp burger except tous auss délici un autr rien laiss hasard jusqu ketchup fabriqu artisanal mention spécial accueil tres chaleur servic irréproch;petit moment hors temps burger exception tout aussi délicieux un autre rien laissé hasard jusqu ketchup fabrication artisanal mention spécial accueil très chaleureux service irréprochable
déjeuner cool super accueil nourriture très grand qualité burger trop bon frites maison essayer yeux fermés;-1;déjeun cool sup accueil nourritur tres grand qualit burg trop bon frit maison essai yeux ferm;déjeuner cool super accueil nourriture très grand qualité burger trop bon frit maison essayer oeil fermer
juste parfait juste parfait titre d’excellence largement mérité burgers parfaits ainsi qu’un personnel accueillant aimable passé très bon moment rochelais;-1;just parf just parf titr d ’ excellent larg mérit burger parfait ains qu ’ un personnel accueil aimabl pass tres bon moment rochel;juste parfaire juste parfaire titre d’ excellence largement mérité burger parfaire ainsi qu’ un personnel accueillir aimable passer très bon moment rochelai
meilleur burgers paris petit resto très discret tout simplement incroyable vrai bijou service rapide accueillant passé superbe moment recommande vivement;-1;meilleur burger paris pet resto tres discret tout simpl incroi vrai bijou servic rapid accueil pass superb moment recommand viv;meilleur burger paris petit resto très discret tout simplement incroyable vrai bijou service rapide accueillant passer superbe moment recommande vivement
burger qualité c’est possible meilleur burger paris adresse où burger synonyme qualité petit restaurant rempli charme l’accueil simple fond convivialité service dynamique efficace l’attente reste supportable burgers cet avis reste bien évidement subjectif concernant pain frais texture celle ci agréable viande bonne qualité tendre assaisonné cuisson respectée différence fait cette crème cheddar onctueuse goûtue chapeau cuisiner devrais dire l’artiste bonne adresse repas entre ami conseil;-1;burg qualit c ’ est possibl meilleur burg paris adress où burg synonym qualit pet restaur rempl charm l ’ accueil simpl fond convivial servic dynam efficac l ’ attent rest support burger cet avis rest bien évid subject concern pain frais textur cel ci agréabl viand bon qualit tendr assaison cuisson respect différent fait cet crem cheddar onctueux goûtu chapeau cuisin devr dir l ’ artist bon adress rep entre ami conseil;burger qualité c’ être possible meilleur burger paris adresse où burger synonyme qualité petit restaurant remplir charm l’ accueil simple fondre convivialité service dynamique efficace l’ attent reste supportable burger ce avis reste bien évidement subjectif concerner pain frais texture celui ci agréable viande bon qualité tendre assaisonner cuisson respecter différence faire ce crème cheddar onctueux goûtue chapeau cuisiner devoir dire l’ artiste bon adresse reper entre ami conseil
agréable tous points testé ere fois hier midi sortis ravis quartier calme verdure square coté accueil agréable petits soins burgers fondants généreux tous meme prix donc laisse parler papilles recommande enfants réclame déjà tres vite voisins gobelins;-1;agréabl tous point test ere fois hi mid sort rav quarti calm verdur squar cot accueil agréabl petit soin burger fond géner tous mem prix donc laiss parl papill recommand enfant réclam déjà tre vit voisin gobelin;agréable tout point tester ere fois hier midi sortis ravir quartier calme verdur square coter accueil agréable petit soin burger fondant généreux tout meme prix donc laisse parler papille recommand enfant réclame déjà tre vite voisin gobelin
moment agréable sacré moment passé lieu tout fait maison bons produits patrons super sympa recommander vivement meilleurs burgers paris;-1;moment agréabl sacr moment pass lieu tout fait maison bon produit patron sup symp recommand viv meilleur burger paris;moment agréable sacrer moment passer lieu tout fait maison bon produire patron super symper recommander vivement meilleur burgers paris
toujours top burger mois regal l’accueil toujours aussi chaleureux creme cheddar vraiment exceptionnelle;-1;toujour top burg mois regal l ’ accueil toujour auss chaleur crem cheddar vrai exceptionnel;toujours top burger mois regal l’ accueil toujours aussi chaleureux creme cheddar vraiment exceptionnelle
franchement délice franchement délice lieu déguster obligatoirement après pourrez mourir tranquille pur plaisir dis bravo;-1;franch délic franch délic lieu dégust obligatoir apres pourr mour tranquill pur plais dis bravo;franchement délice franchement délice lieu déguster obligatoirement après pouvoir mourir tranquille pur plaisir dis bravo
découvert découvert square l’occasion d’un dej improvisé envie rester châtelet bosse donc s’est risqués rue corvisart faut bien reconnaître ça sans faute accueil personnel vraiment sympathique service rapide discret efficace tout respectant nouvelles habitudes post covid faisant sorte ça pénible personne faisait chaud donc laissé côté burgers opté tartare thaï tartare dorade thaï mariné sauce soja saveurs gingembre servi caccahouetes pilées peu croquant c’est très bon si ça reste peu sage mériterait plus mordant d’épices pinaille parce c’est super bien fait viande top tartare dorade juste parfait citronné comme faut decoupé cordeau frais comme l’œil racontes d’histoires fraîcheur d’un poisson femme issue générations marins pêcheurs plus y’a vrai ketchup fait vraies tomates vrais mecs l’ariege veux quoi plus bref veniez châtelet barbès passy stalingrad tous square »pour vrai moment bon goût paris viendrez dire n’ prévenus;-1;découvert découvert squar l ’ occas d ’ un dej improvis envi rest châtelet boss donc s ’ est risqu ru corvisart faut bien reconnaîtr ça san faut accueil personnel vrai sympath servic rapid discret efficac tout respect nouvel habitud post covid fais sort ça pénibl person fais chaud donc laiss côt burger opté tartar thaï tartar dorad thaï marin sauc soj saveur gingembr serv caccahouet pil peu croqu c ’ est tres bon si ça rest peu sag mérit plus mord d ’ épic pinaill parc c ’ est sup bien fait viand top tartar dorad just parf citron comm faut decoup cordeau frais comm l ’ œil racont d ’ histoir fraîcheur d ’ un poisson femm issu géner marin pêcheur plus y ’ a vrai ketchup fait vrai tomat vrais mec l ’ arieg veux quoi plus bref ven châtelet barbes passy stalingrad tous squar » pour vrai moment bon goût paris viendr dir n ’ prévenus;découvrir découvrir square l’ occasion d’ un déjeuner improviser envier rester châtelet bosse donc s’ être risquer rue corvisart falloir bien reconnaître cela sans faute accueil personnel vraiment sympathique service rapide discret efficace tout respectant nouveau habitude post covid faire sortir cela pénible personne faire chaud donc laisser côté burgers opté tartare thaï tartare dorade thaï mariné sauc soja saveur gingembre servir caccahouete piler peu croquant c’ être très bon si cela reste peu sage mériter plus mordant d’ épice pinaille parce c’ être super bien faire viande top tartare dorade juste parfaire citronner comme falloir decouper cordeau frais comme l’ œil raconte d’ histoire fraîcheur d’ un poisson femme issu génération marin pêcheur plus y’ avoir vrai ketchup faire vraie tomate vrai mec l’ ariege vouloir quoi plus bref veniez châtelet barbè passy stalingrad tout square » pour vrai moment bon goût paris viendrez dire n ’ prévenu
tres bon accueil tres bon accueil avant service déjeuner délicieuse mousse chocolat donc revenue après rdv quartier déjeuner j’ai beaucoup aimé burger reviendrais merci merci cette terrasse respecte distance barrière extérieur paris;-1;tre bon accueil tre bon accueil avant servic déjeun délici mouss chocolat donc revenu apres rdv quarti déjeun j ’ ai beaucoup aim burg reviendr merc merc cet terr respect distanc barri extérieur paris;tre bon accueil tre bon accueil avant service déjeuner délicieuse mousse chocolat donc revenir après rdv quartier déjeuner j’ avoir beaucoup aimer burger reviendrais merci merci ce terrasse respect distance barrièr extérieur paris
presque top allés restaurant afin manger hamburger n’avons déçus service carte directement posée table très rapide serveur aimable accueil chaleureux convivial burger arrivé min cuisson pain n’était malheureusement hauteur espérances j’ai pu faire abstraction bémol lorsque j’ai goûté fromage absolument savoureux noter également cuisson steak bien respectée j’avais pris saignant;-1;presqu top allé restaur afin mang hamburg n ’ avon déçus servic cart direct pos tabl tres rapid serveur aimabl accueil chaleur convivial burg arriv min cuisson pain n ’ était malheur hauteur esper j ’ ai pu fair abstract bémol lorsqu j ’ ai goût fromag absolu savour not égal cuisson steak bien respect j ’ avais pris saign;presque top aller restaurer afin manger hamburger n’ avoir décevoir service carte directement poser tabl très rapide serveur aimable accueil chaleureux convivial burger arriver min cuisson pain n’ être malheureusement hauteur espérance j’ avoir pouvoir faire abstraction bémol lorsque j’ avoir goûté fromage absolument savoureux noter également cuisson steak bien respecter j’ avai prendre saigner
